seq,sigla,rnum,codigo
2.2.1,PEE,18,66318
2.2.1,PEE,19,66317
2.2.1,PEE,20,66444
2.2.1,PEE,21,66448
2.2.1,PEE,22,72959
2.2.1,PEE,23,66688
2.2.1,PEE,24,73689
2.2.1,PEE,25,66379
2.2.1,PEE,26,66404
2.2.1,PEE,27,73422
2.2.1,PEE,28,73172
2.2.1,PEE,29,66836
2.2.1,PEE,30,66609
