autor,name_full,n,codigos
andre luis bastos sousa,Andre Luis Bastos Sousa,1,"{""73724"": 2}"
andre luis da silva pereira,André Luís da Silva Pereira,1,"{""66812"": 7}"
andre nogueira duarte,Andre Nogueira Duarte,2,"{""73739"": 4, ""73765"": 4}"
andresa berretta,Andresa Berretta,1,"{""72540"": 4}"
andresa geralda duarte,Andresa Geralda Duarte,2,"{""66812"": 3, ""73897"": 3}"
andres bueno castro,Andrés Bueno Castro,1,"{""73877"": 5}"
andressa acquaro guimaraes,Andressa Acquaro Guimarães,1,"{""73453"": 2}"
andressa godoy amaral,Andressa Godoy Amaral,1,"{""73525"": 2}"
andressa j. kowal,Andressa J. Kowal,1,"{""72956"": 5}"
andressa rodrigues de sousa,Andressa Rodrigues de Sousa,9,"{""66397"": 8, ""66398"": 8, ""66539"": 1, ""66540"": 1, ""66561"": 8, ""66575"": 7, ""66759"": 8, ""68585"": 8, ""73404"": 8}"
andressa van der heijde fonseca,Andressa Van Der Heijde Fonseca,1,"{""72013"": 3}"
andreza naarah moraes de carvalho,Andreza Naarah Moraes de Carvalho,1,"{""66645"": 5}"
ane karoline medina neri,Ane Karoline Medina Néri,2,"{""66489"": 2, ""66822"": 2}"
aneliza fernandez,Aneliza Fernandez,1,"{""66354"": 5}"
anety souza chaves,Anety Souza Chaves,1,"{""66397"": 3}"
angela carvalho de oliveira,Angela Carvalho de Oliveira,1,"{""71890"": 5}"
angela cristina nunes vasconcellos sutter,Angela Cristina Nunes Vasconcellos Sutter,1,"{""66251"": 2}"
angela teodosio da silva,Angela Teodósio da Silva,4,"{""66542"": 3, ""66545"": 1, ""66553"": 3, ""73122"": 2}"
angie rios lopez,Angie Rios Lopez,1,"{""73513"": 3}"
anita leme da rocha saldanha,Anita Leme da Rocha Saldanha,6,"{""66547"": 1, ""66570"": 1, ""66739"": 3, ""66745"": 3, ""74046"": 3, ""74225"": 3}"
anita l r saldanha,Anita L. R. Saldanha,2,"{""66534"": 4, ""66611"": 4}"
anna carolina silva soares,Anna Carolina Silva Soares,3,"{""73739"": 1, ""73761"": 2, ""73765"": 2}"
anna danielle rodrigues gandarella,Anna Danielle Rodrigues Gandarella,2,"{""66775"": 1, ""66796"": 1}"
anna karynne da silva melo,Anna Karynne da Silva Melo,1,"{""66485"": 8}"
anna luiza pereira magalhaes,Anna Luiza Pereira Magalhães,1,"{""66405"": 2}"
anne brandolt larre,Anne Brandolt Larré,1,"{""66725"": 1}"
anneli mercedes celis de cardenas,Anneli Mercedes Celis de Cárdenas,2,"{""73590"": 2, ""73677"": 2}"
anne louise de oliveira,Anne Louise de Oliveira,1,"{""74075"": 6}"
antia lopez iglesias,Antía López Iglesias,1,"{""72766"": 4}"
antonia claudia nascimento barbosa,Antonia Cláudia Nascimento Barbosa,1,"{""73011"": 2}"
antonia elza lopes nascimento,Antônia Elza Lopes Nascimento,1,"{""66551"": 4}"
antonia irisley da silva blandes,Antonia Irisley da Silva Blandes,1,"{""72683"": 6}"
antonia maria dos santos silva,Antônia Maria dos Santos Silva,1,"{""73374"": 5}"
antonia paloma nogueira cavalcante,Antônia Paloma Nogueira Cavalcante,1,"{""73606"": 4}"
antonio andre jarsen pereira,Antonio André Jarsen Pereira,2,"{""73178"": 2, ""73431"": 2}"
antonio carlos rosario vallinoto,Antonio Carlos Rosário Vallinoto,1,"{""73505"": 7}"
antonio carlos seguro,Antonio Carlos Seguro,2,"{""66580"": 6, ""72540"": 7}"
antonio castro henriques,António Castro Henriques,1,"{""66687"": 8}"
